,Unnamed: 0,daily_miss_rate,date,effective_at,effective_at_string,mtd,n_due,n_missed,n_paid,rolling_30_30_days_ago,rolling_change,rolling_daily_miss_rate,rolling_sum_n_due,rolling_sum_n_missed,which_day,which_month,which_month_name
0,51,0.0,2024-09-15,2024-09-15,2024-09-15,current_month,2,0,0,,,0.0,66.0,0.0,today,current_month,September
1,50,0.0,2024-09-11,2024-09-11,2024-09-11,current_month,1,0,0,,,0.0,67.0,0.0,,current_month,September
2,49,0.0,2024-09-06,2024-09-06,2024-09-06,current_month,1,0,0,,,0.0,70.0,0.0,,current_month,September
3,48,0.0,2024-09-03,2024-09-03,2024-09-03,current_month,1,0,0,,,0.0,70.0,0.0,,current_month,September
4,47,0.0,2024-09-01,2024-09-01,2024-09-01,current_month,2,0,0,,,0.0,72.0,0.0,,current_month,September
5,46,0.0,2024-08-26,2024-08-26,2024-08-26,,1,0,0,,,0.0,72.0,0.0,,last_month,August
6,45,0.0,2024-08-24,2024-08-24,2024-08-24,,1,0,0,,,0.0,72.0,0.0,,last_month,August
7,44,0.0,2024-08-21,2024-08-21,2024-08-21,,1,0,0,,,0.0,73.0,0.0,,last_month,August
8,43,0.0,2024-08-20,2024-08-20,2024-08-20,,2,0,0,,,0.0,76.0,0.0,,last_month,August
9,42,0.0,2024-08-19,2024-08-19,2024-08-19,,4,0,0,,,0.0,76.0,0.0,,last_month,August
10,41,0.0,2024-08-18,2024-08-18,2024-08-18,,1,0,0,,,0.0,75.0,0.0,,last_month,August
11,40,0.0,2024-08-16,2024-08-16,2024-08-16,,2,0,0,,,0.0,75.0,0.0,,last_month,August
12,39,0.0,2024-08-14,2024-08-14,2024-08-14,last_month,3,0,0,,,0.0,75.0,0.0,,last_month,August
13,38,0.0,2024-08-11,2024-08-11,2024-08-11,last_month,1,0,0,,,0.0,75.0,0.0,,last_month,August
14,37,0.0,2024-08-09,2024-08-09,2024-08-09,last_month,2,0,0,,,0.0,79.0,0.0,,last_month,August
15,36,0.0,2024-08-08,2024-08-08,2024-08-08,last_month,3,0,0,,,0.0,80.0,0.0,,last_month,August
16,35,0.0,2024-08-07,2024-08-07,2024-08-07,last_month,5,0,0,,,0.0,81.0,0.0,,last_month,August
17,34,0.0,2024-08-06,2024-08-06,2024-08-06,last_month,3,0,0,,,0.0,77.0,0.0,,last_month,August
18,33,0.0,2024-08-03,2024-08-03,2024-08-03,last_month,4,0,0,,,0.0,77.0,0.0,,last_month,August
19,32,0.0,2024-08-02,2024-08-02,2024-08-02,last_month,1,0,0,,,0.0,75.0,0.0,,last_month,August
20,31,0.0,2024-07-30,2024-07-30,2024-07-30,,2,0,0,,,0.0,75.0,0.0,,last_to_last_month,July
21,30,0.0,2024-07-26,2024-07-26,2024-07-26,,1,0,0,,,0.0,76.0,0.0,,last_to_last_month,July
22,29,0.0,2024-07-20,2024-07-20,2024-07-20,,2,0,0,,,0.0,76.0,0.0,,last_to_last_month,July
23,28,0.0,2024-07-19,2024-07-19,2024-07-19,,4,0,0,,,,,,,last_to_last_month,July
24,27,0.0,2024-07-16,2024-07-16,2024-07-16,,2,0,0,,,,,,,last_to_last_month,July
25,26,0.0,2024-07-14,2024-07-14,2024-07-14,last_to_last_month,3,0,0,,,,,,,last_to_last_month,July
26,25,0.0,2024-07-11,2024-07-11,2024-07-11,last_to_last_month,1,0,0,,,,,,,last_to_last_month,July
27,24,0.0,2024-07-09,2024-07-09,2024-07-09,last_to_last_month,2,0,0,,,,,,,last_to_last_month,July
28,23,0.0,2024-07-08,2024-07-08,2024-07-08,last_to_last_month,3,0,0,,,,,,,last_to_last_month,July
29,22,0.0,2024-07-07,2024-07-07,2024-07-07,last_to_last_month,5,0,0,,,,,,,last_to_last_month,July
30,21,0.0,2024-07-06,2024-07-06,2024-07-06,last_to_last_month,3,0,0,,,,,,,last_to_last_month,July
31,20,0.0,2024-07-03,2024-07-03,2024-07-03,last_to_last_month,4,0,0,,,,,,,last_to_last_month,July
32,19,0.0,2024-07-02,2024-07-02,2024-07-02,last_to_last_month,1,0,0,,,,,,,last_to_last_month,July
33,18,0.0,2024-07-01,2024-07-01,2024-07-01,last_to_last_month,3,0,0,,,,,,,last_to_last_month,July
34,17,0.0,2024-06-30,2024-06-30,2024-06-30,,2,0,0,,,,,,,,
35,16,0.0,2024-06-29,2024-06-29,2024-06-29,,1,0,0,,,,,,,,
36,15,0.0,2024-06-20,2024-06-20,2024-06-20,,2,0,0,,,,,,,,
37,14,0.0,2024-06-19,2024-06-19,2024-06-19,,4,0,0,,,,,,,,
38,13,0.0,2024-06-16,2024-06-16,2024-06-16,,2,0,0,,,,,,,,
39,12,0.0,2024-06-14,2024-06-14,2024-06-14,,3,0,0,,,,,,,,
40,11,0.0,2024-06-11,2024-06-11,2024-06-11,,1,0,0,,,,,,,,
41,10,0.0,2024-06-09,2024-06-09,2024-06-09,,2,0,0,,,,,,,,
42,9,0.0,2024-06-08,2024-06-08,2024-06-08,,3,0,0,,,,,,,,
43,8,0.0,2024-06-07,2024-06-07,2024-06-07,,5,0,0,,,,,,,,
44,7,0.0,2024-06-06,2024-06-06,2024-06-06,,3,0,0,,,,,,,,
45,6,0.0,2024-06-03,2024-06-03,2024-06-03,,4,0,0,,,,,,,,
46,5,0.0,2024-06-02,2024-06-02,2024-06-02,,1,0,0,,,,,,,,
47,4,0.0,2024-06-01,2024-06-01,2024-06-01,,3,0,0,,,,,,,,
48,3,0.0,2024-05-30,2024-05-30,2024-05-30,,2,0,0,,,,,,,,
49,2,0.0,2024-05-29,2024-05-29,2024-05-29,,1,0,0,,,,,,,,
50,1,0.0,2024-05-01,2024-05-01,2024-05-01,,3,0,0,,,,,,,,
51,0,0.0,2024-04-29,2024-04-29,2024-04-29,,1,0,0,,,,,,,,
