,merchant_name,merchant_id,exception_amount,exception
0,,8e321406-1079-4bca-9f6e-caa9937cc04e,1500.0,1
1,Store 974,1f6dc83c-0896-407d-ab4c-097be1ef4fb9,4000.0,1
2,Katara Club,db4da573-17b6-4886-aadb-caf1635eeed7,4000.0,1
3,Approved Market,61b0d8b2-82f9-4d42-b5b4-89cb6b73fb84,4000.0,1
4,PayLater Test Merchant,e9d41268-9b8b-454a-972a-0648ceea313c,15000.0,1
5,Tech Station Trading,dfe044f2-fb3a-42b4-b42f-fec46043476c,4000.0,1
6,U Events,b85d3ac4-1e22-4d4f-b180-f6b424fcab8f,4000.0,1
7,People's Telecom,f9efe4bd-84f4-4ede-8f0f-77e6bd667c9f,4000.0,1
8,Viva Store,f27c1cb9-7394-4b68-b329-b82bcb6bca29,4000.0,1
9,Bayt Travels,d45fdc8b-2cf8-408b-b6b7-c63a1cf57c8d,4000.0,1
10,Joy Travels,a1008604-16c2-4cc4-a826-4a5a8998e72c,4000.0,1
