,date,n_due,n_paid,n_missed,daily_miss_rate,rolling_sum_n_due,rolling_sum_n_missed,rolling_daily_miss_rate
0,2024-04-29,1,0,0,0.0,,,
1,2024-05-01,3,0,0,0.0,,,
2,2024-05-29,1,0,0,0.0,,,
3,2024-05-30,2,0,0,0.0,,,
4,2024-06-01,3,0,0,0.0,,,
5,2024-06-02,1,0,0,0.0,,,
6,2024-06-03,4,0,0,0.0,,,
7,2024-06-06,3,0,0,0.0,,,
8,2024-06-07,5,0,0,0.0,,,
9,2024-06-08,3,0,0,0.0,,,
10,2024-06-09,2,0,0,0.0,,,
11,2024-06-11,1,0,0,0.0,,,
12,2024-06-14,3,0,0,0.0,,,
13,2024-06-16,2,0,0,0.0,,,
14,2024-06-19,4,0,0,0.0,,,
15,2024-06-20,2,0,0,0.0,,,
16,2024-06-29,1,0,0,0.0,,,
17,2024-06-30,2,0,0,0.0,,,
18,2024-07-01,3,0,0,0.0,,,
19,2024-07-02,1,0,0,0.0,,,
20,2024-07-03,4,0,0,0.0,,,
21,2024-07-06,3,0,0,0.0,,,
22,2024-07-07,5,0,0,0.0,,,
23,2024-07-08,3,0,0,0.0,,,
24,2024-07-09,2,0,0,0.0,,,
25,2024-07-11,1,0,0,0.0,,,
26,2024-07-14,3,0,0,0.0,,,
27,2024-07-16,2,0,0,0.0,,,
28,2024-07-19,4,0,0,0.0,,,
29,2024-07-20,2,0,0,0.0,76.0,0.0,0.0
30,2024-07-26,1,0,0,0.0,76.0,0.0,0.0
31,2024-07-30,2,0,0,0.0,75.0,0.0,0.0
32,2024-08-02,1,0,0,0.0,75.0,0.0,0.0
33,2024-08-03,4,0,0,0.0,77.0,0.0,0.0
34,2024-08-06,3,0,0,0.0,77.0,0.0,0.0
35,2024-08-07,5,0,0,0.0,81.0,0.0,0.0
36,2024-08-08,3,0,0,0.0,80.0,0.0,0.0
37,2024-08-09,2,0,0,0.0,79.0,0.0,0.0
38,2024-08-11,1,0,0,0.0,75.0,0.0,0.0
39,2024-08-14,3,0,0,0.0,75.0,0.0,0.0
40,2024-08-16,2,0,0,0.0,75.0,0.0,0.0
41,2024-08-18,1,0,0,0.0,75.0,0.0,0.0
42,2024-08-19,4,0,0,0.0,76.0,0.0,0.0
43,2024-08-20,2,0,0,0.0,76.0,0.0,0.0
44,2024-08-21,1,0,0,0.0,73.0,0.0,0.0
45,2024-08-24,1,0,0,0.0,72.0,0.0,0.0
46,2024-08-26,1,0,0,0.0,72.0,0.0,0.0
47,2024-09-01,2,0,0,0.0,72.0,0.0,0.0
48,2024-09-03,1,0,0,0.0,70.0,0.0,0.0
49,2024-09-06,1,0,0,0.0,70.0,0.0,0.0
50,2024-09-11,1,0,0,0.0,67.0,0.0,0.0
51,2024-09-15,2,0,0,0.0,66.0,0.0,0.0
